path	sha256	width	height	viewport	case_id	state	flows	locale	registry_status	provenance
k-tour-id-app/tests/visual/ondo-b-flow-pixels-responsive.spec.ts-snapshots/B-PX-SAVE-RECOVERED-KO-FL-011-ko-768x1024-desktop-chromium-darwin.png	e441b55cdafb5af01b670bcff3abd68278024d1c5232fec4bb05596ee59e4916	768	1024	768x1024	B-PX-SAVE-RECOVERED-KO	SAVE-RECOVERED	FL-011	ko	CANDIDATE	R5R-FIX: recaptured after retry product closure; prior_sha=2b0cc85601918015042920f489daabdc1c44f1cb2e1368f97f064c2bceffe129
k-tour-id-app/tests/visual/ondo-b-flow-pixels-responsive.spec.ts-snapshots/B-PX-SAVE-RECOVERED-KO-FL-011-ko-801x1000-desktop-chromium-darwin.png	793e5490a414859b45c2f48c3bc45b1ba00e9757600230a3a09bbedf5e115df5	801	1000	801x1000	B-PX-SAVE-RECOVERED-KO	SAVE-RECOVERED	FL-011	ko	CANDIDATE	R5R-FIX: recaptured after retry product closure; prior_sha=c08a0a378236320cc1abd244dc9dc99182bfe801bca7b99221450fc7f8e512e6
k-tour-id-app/tests/visual/ondo-b-flow-pixels-responsive.spec.ts-snapshots/B-PX-SESSION-RESET-CONFIRM-KO-FL-010-FL-015-ko-360x800-desktop-chromium-darwin.png	bd90e058342c34dca0c95c738e98833a86864705481e31e1512c869761855228	360	800	360x800	B-PX-SESSION-RESET-CONFIRM-KO	SESSION-RESET-CONFIRM	FL-010,FL-015	ko	CANDIDATE	R5R-NEW:D4-R5R-001; new closure state registered at 6 exact viewports
k-tour-id-app/tests/visual/ondo-b-flow-pixels-responsive.spec.ts-snapshots/B-PX-SESSION-RESET-CONFIRM-KO-FL-010-FL-015-ko-430x932-desktop-chromium-darwin.png	ee7f26ab169991fdcabb7f365fe5ce51c1fc4d45e865b661f53302ec630f1b19	430	932	430x932	B-PX-SESSION-RESET-CONFIRM-KO	SESSION-RESET-CONFIRM	FL-010,FL-015	ko	CANDIDATE	R5R-NEW:D4-R5R-001; new closure state registered at 6 exact viewports
k-tour-id-app/tests/visual/ondo-b-flow-pixels-responsive.spec.ts-snapshots/B-PX-SESSION-RESET-CONFIRM-KO-FL-010-FL-015-ko-768x1024-desktop-chromium-darwin.png	5fd6dfb0396471159e14cf773fe433f7f14488acaf2a55ea547a622015eb655b	768	1024	768x1024	B-PX-SESSION-RESET-CONFIRM-KO	SESSION-RESET-CONFIRM	FL-010,FL-015	ko	CANDIDATE	R5R-NEW:D4-R5R-001; new closure state registered at 6 exact viewports
k-tour-id-app/tests/visual/ondo-b-flow-pixels-responsive.spec.ts-snapshots/B-PX-SESSION-RESET-CONFIRM-KO-FL-010-FL-015-ko-801x1000-desktop-chromium-darwin.png	8f88b41f623259723d28fd82ca795acb3d2663bd23192690664664bedede1df7	801	1000	801x1000	B-PX-SESSION-RESET-CONFIRM-KO	SESSION-RESET-CONFIRM	FL-010,FL-015	ko	CANDIDATE	R5R-NEW:D4-R5R-001; new closure state registered at 6 exact viewports
k-tour-id-app/tests/visual/ondo-b-flow-pixels-responsive.spec.ts-snapshots/B-PX-TABLE-DETAIL-KO-FL-003-ko-360x800-desktop-chromium-darwin.png	87792a2ff82e6d5e787ed531d9b928c5e50b384b3fbb1c32c99c5a70657c92b8	360	800	360x800	B-PX-TABLE-DETAIL-KO	TABLE-DETAIL	FL-003	ko	CANDIDATE	R5R-CARRY: byte-identical to frozen f1ec9b0c baseline
k-tour-id-app/tests/visual/ondo-b-flow-pixels-responsive.spec.ts-snapshots/B-PX-TABLE-DETAIL-KO-FL-003-ko-430x932-desktop-chromium-darwin.png	c29e4bd26078d2a56153b2463087dca22460efb7a2db1468b0597817f7907d45	430	932	430x932	B-PX-TABLE-DETAIL-KO	TABLE-DETAIL	FL-003	ko	CANDIDATE	R5R-CARRY: byte-identical to frozen f1ec9b0c baseline
k-tour-id-app/tests/visual/ondo-b-flow-pixels-responsive.spec.ts-snapshots/B-PX-TABLE-DETAIL-KO-FL-003-ko-768x1024-desktop-chromium-darwin.png	374139269abc115df5ecaa653bb71ab11eb98d190d6cbeeb5a558884b2151ea0	768	1024	768x1024	B-PX-TABLE-DETAIL-KO	TABLE-DETAIL	FL-003	ko	CANDIDATE	R5R-FIX: recaptured after retry product closure; prior_sha=18ba174f496cc2d16cf9aa60ec6c91e2bbfa3f694e91227a28b8be13129ad0f3
k-tour-id-app/tests/visual/ondo-b-flow-pixels-responsive.spec.ts-snapshots/B-PX-TABLE-DETAIL-KO-FL-003-ko-801x1000-desktop-chromium-darwin.png	fb11374fe8c4e6553b06bc1fe4b905b55b35ddad957d214505aa6ca114c083f3	801	1000	801x1000	B-PX-TABLE-DETAIL-KO	TABLE-DETAIL	FL-003	ko	CANDIDATE	R5R-FIX: recaptured after retry product closure; prior_sha=1fa739db8da2c6156f220ddc2527ba24cf84e2b816a1be343c4ba6e6c272dccf
